decile,customers,avg_predicted_uplift,treated_response_rate,control_response_rate,observed_uplift
1,5000,0.049152304146707695,0.1294485725459523,0.11051985264019648,0.018928719905755814
2,5000,0.0014237878232615693,0.010387534958050339,0.010412494993992792,-2.4960035942453093e-05
3,5000,0.00035318348440825653,0.0012325390304026294,0.000779423226812159,0.00045311580359047034
4,5000,0.00022698161884065771,0.0004038772213247173,0.0011885895404120444,-0.0007847123190873271
5,5000,0.00016484769105953986,0.0011947431302270011,0.0,0.0011947431302270011
6,5000,0.00011462928069124677,0.0,0.00040899795501022495,-0.00040899795501022495
7,5000,6.565065804889217e-05,0.0008136696501220504,0.0015735641227380016,-0.0007598944726159511
8,5000,-3.1692355336415884e-05,0.0007874015748031496,0.0008130081300813008,-2.5606555278151217e-05
9,5000,-0.0004950816430691785,0.007977662544874352,0.008022462896109106,-4.4800351234754177e-05
10,5000,-0.0326003786692676,0.0939406262708418,0.09602518693427785,-0.0020845606634360414
